KEM,DS,Avg Latency (ms),Avg Bandwidth (KB),Client_CPU%,Server_CPU%,Client_MEM%,Server_MEM%
ffdhe2048,rsa2048,125.28,412.28,1152.21,210.8,2.66,0.72
ffdhe2048,ecdsa_p256,111.55,354.97,1195.32,153.77,2.09,0.72
ffdhe2048,ed25519,113.53,347.88,1201.13,154.68,3.03,0.7
secp256r1,rsa2048,114.23,375.25,1162.85,170.09,3.04,0.7
x25519,rsa2048,109.89,368.8,1173.06,166.99,2.93,0.73
mlkem512,mldsa44,106.08,1044.63,1228.83,100.82,3.91,0.68
mlkem512,falcon512,107.54,651.29,1224.39,117.33,3.5,0.71
mlkem512,sphincssha2128fsimple,206.1,3827.23,718.15,681.53,6.08,0.98
hqc128,mldsa44,231.62,1553.43,1048.94,419.91,3.74,0.83
hqc128,falcon512,234.98,1167.13,1038.09,423.28,3.59,0.83
ffdhe2048,mldsa44,112.65,948.52,1190.02,161.41,3.04,0.68
ffdhe2048,falcon512,114.85,549.03,1156.54,173.71,2.91,0.69
ffdhe2048,sphincssha2128fsimple,215.98,3724.6,722.68,677.23,7.98,0.82
secp256r1,mldsa44,105.98,907.35,1224,114.02,3.94,0.7
x25519,falcon512,109.67,505.5,1215.93,123.21,3.45,0.69
mlkem512,rsa2048,112.6,514.9,1178.59,160.54,3.25,0.7
mlkem512,ecdsa_p256,110.05,450.78,1243.11,94.77,3.54,0.71
mlkem512,ed25519,111.08,444.13,1215.41,93.23,3.52,0.74
hqc128,rsa2048,242.12,1017.43,1017.98,443.64,3.78,0.81
hqc128,ecdsa_p256,234.85,960.1,1053.67,418.33,3.87,0.83
