KEM,DS,Client_CPU%,Client_MEM%,Server_CPU%,Server_MEM%
ffdhe2048,rsa2048,1152.21,2.66,210.8,0.72
ffdhe2048,ecdsa_p256,1195.32,2.09,153.77,0.72
ffdhe2048,ed25519,1201.13,3.03,154.68,0.7
secp256r1,rsa2048,1162.85,3.04,170.09,0.7
x25519,rsa2048,1173.06,2.93,166.99,0.73
mlkem512,mldsa44,1228.83,3.91,100.82,0.68
mlkem512,falcon512,1224.39,3.5,117.33,0.71
mlkem512,sphincssha2128fsimple,718.15,6.08,681.53,0.98
hqc128,mldsa44,1048.94,3.74,419.91,0.83
hqc128,falcon512,1038.09,3.59,423.28,0.83
ffdhe2048,mldsa44,1190.02,3.04,161.41,0.68
ffdhe2048,falcon512,1156.54,2.91,173.71,0.69
ffdhe2048,sphincssha2128fsimple,722.68,7.98,677.23,0.82
secp256r1,mldsa44,1224,3.94,114.02,0.7
x25519,falcon512,1215.93,3.45,123.21,0.69
mlkem512,rsa2048,1178.59,3.25,160.54,0.7
mlkem512,ecdsa_p256,1243.11,3.54,94.77,0.71
mlkem512,ed25519,1215.41,3.52,93.23,0.74
hqc128,rsa2048,1017.98,3.78,443.64,0.81
hqc128,ecdsa_p256,1053.67,3.87,418.33,0.83
