timestamp,latency_ms,bandwidth_kb,cpu_pct,ram_pct
1745518601,24.71,73.62,43.00,0.159
1745518601,23.93,73.62,39.00,0.159
1745518601,24.00,73.62,39.00,0.160
1745518601,23.92,73.49,39.00,0.160
1745518601,24.29,73.62,43.00,0.159
1745518601,23.88,73.62,39.00,0.159
1745518601,23.97,73.62,34.00,0.156
1745518601,23.90,73.62,39.00,0.160
1745518601,23.93,73.75,39.00,0.157
1745518601,23.55,73.75,40.00,0.157
1745518601,23.88,73.62,39.00,0.161
1745518601,24.61,73.75,34.00,0.161
1745518601,24.00,73.62,39.00,0.158
1745518602,23.97,73.49,39.00,0.158
1745518602,23.91,73.62,39.00,0.161
1745518602,24.42,73.62,34.00,0.158
1745518602,24.71,73.56,43.00,0.157
1745518602,24.11,73.62,34.00,0.158
1745518602,23.85,73.68,40.00,0.160
1745518602,24.02,73.62,39.00,0.157
1745518602,24.59,73.62,43.00,0.157
1745518602,24.05,73.62,43.00,0.160
1745518602,24.14,73.62,39.00,0.161
1745518602,24.25,73.62,39.00,0.160
1745518602,23.86,73.62,36.00,0.159
1745518602,23.80,73.62,40.00,0.159
1745518602,23.82,73.49,40.00,0.161
1745518602,23.91,73.62,40.00,0.159
1745518602,25.18,73.62,41.00,0.159
1745518602,24.62,73.56,39.00,0.158
1745518602,24.33,73.75,43.00,0.160
1745518602,24.17,73.62,34.00,0.158
1745518602,24.13,73.75,39.00,0.157
1745518602,24.00,73.62,39.00,0.161
1745518602,23.98,73.62,39.00,0.157
1745518602,23.87,73.62,40.00,0.158
1745518602,24.86,73.62,43.00,0.159
1745518602,23.82,73.62,40.00,0.157
1745518602,24.25,73.62,39.00,0.159
1745518602,24.25,73.49,39.00,0.160
1745518602,24.03,73.62,34.00,0.157
1745518602,24.13,73.62,39.00,0.159
1745518602,24.05,73.56,39.00,0.160
1745518602,24.09,73.62,39.00,0.160
1745518602,23.79,73.62,40.00,0.159
1745518602,23.94,73.62,39.00,0.160
1745518602,24.00,73.62,39.00,0.159
1745518602,24.30,73.56,43.00,0.160
1745518602,23.96,73.62,39.00,0.157
1745518602,24.00,73.62,34.00,0.159
1745518602,24.06,73.62,39.00,0.156
1745518602,24.31,73.62,43.00,0.159
1745518602,24.11,73.49,39.00,0.160
1745518602,24.17,73.62,39.00,0.158
1745518603,24.08,73.62,39.00,0.160
1745518603,23.97,73.56,39.00,0.157
1745518603,23.89,73.62,34.00,0.161
1745518603,24.00,73.62,40.00,0.158
1745518603,23.97,73.62,39.00,0.160
1745518603,24.15,73.62,39.00,0.157
1745518603,24.94,73.62,41.00,0.159
1745518603,24.01,73.62,39.00,0.159
1745518603,23.91,73.62,39.00,0.158
1745518603,23.72,73.62,40.00,0.159
1745518603,24.03,73.62,43.00,0.159
1745518603,24.05,73.49,34.00,0.158
1745518603,24.53,73.62,39.00,0.159
1745518603,23.91,73.62,39.00,0.161
1745518603,24.44,73.49,39.00,0.158
1745518603,24.29,73.62,34.00,0.157
1745518603,24.51,73.62,39.00,0.157
1745518603,25.01,73.75,41.00,0.160
1745518603,24.25,73.62,39.00,0.160
1745518603,24.25,73.62,39.00,0.159
1745518603,24.09,73.62,39.00,0.160
1745518603,24.27,73.62,39.00,0.159
1745518603,24.02,73.62,34.00,0.159
1745518603,24.49,73.62,39.00,0.157
1745518603,24.44,73.49,39.00,0.158
1745518603,24.36,73.62,43.00,0.159
1745518603,24.25,73.62,39.00,0.160
1745518603,24.88,73.56,43.00,0.159
1745518603,24.37,73.75,43.00,0.158
1745518603,24.30,73.62,39.00,0.160
1745518603,24.15,73.62,39.00,0.159
1745518603,24.52,73.62,43.00,0.160
1745518603,24.34,73.62,43.00,0.160
1745518603,24.14,73.62,39.00,0.157
1745518603,23.96,73.62,39.00,0.160
1745518603,24.42,73.62,34.00,0.161
1745518603,23.96,73.62,39.00,0.158
1745518603,24.07,73.49,39.00,0.161
1745518603,23.96,73.62,39.00,0.158
1745518603,24.12,73.62,39.00,0.160
1745518603,24.30,73.56,39.00,0.160
1745518604,24.20,73.62,43.00,0.160
1745518604,24.26,73.62,43.00,0.160
1745518604,24.35,73.62,43.00,0.160
1745518604,24.02,73.62,39.00,0.159
1745518604,24.21,73.62,39.00,0.161
